contract_item	kind	profile	owners	owners_count	mapping_details	suggested_status	covered_candidates	any_enforcement_point	any_proof	notes
AT-026	AT	CSP	S3-000,S8-014	2	S3-000:contract_refs;S8-014:contract_refs|enforcing_contract_ats	CLAIMED	S3-000	1	1	
AT-027	AT	CSP	S3-000,S8-014	2	S3-000:contract_refs;S8-014:contract_refs|enforcing_contract_ats	CLAIMED	S3-000	1	1	
AT-028	AT	CSP	S3-002,S8-014	2	S3-002:contract_must_evidence.anchor|contract_refs;S8-014:contract_refs|enforcing_contract_ats	CLAIMED	S3-002	1	1	
AT-029	AT	GOP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-030	AT	CSP	S6-007,S6-011	2	S6-007:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats;S6-011:enforcing_contract_ats	AMBIGUOUS	S6-007,S6-011	1	1	
AT-031	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-032	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-033	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-034	AT	CSP	S13-000	1	S13-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-035	AT	GOP	S13-002	1	S13-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-036	AT	GOP	S13-002	1	S13-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-040	AT	GOP	S1-010,S13-000	2	S1-010:contract_refs|enforcing_contract_ats;S13-000:contract_refs|enforcing_contract_ats	COVERED	S1-010	1	1	
AT-041	AT	CSP	S2-002	1	S2-002:contract_refs|enforcing_contract_ats	COVERED	S2-002	1	1	
AT-042	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-043	AT	CSP	S6-007,S6-008,S6-009,S6-011	4	S6-007:contract_refs|enforcing_contract_ats;S6-008:contract_must_evidence.anchor;S6-009:contract_must_evidence.anchor;S6-011:enforcing_contract_ats	COVERED	S6-007,S6-008,S6-009,S6-011	1	1	
AT-044	AT	GOP	S10-001	1	S10-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-045	AT	CSP	S8-004	1	S8-004:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-046	AT	GOP	S10-000	1	S10-000:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-104	AT	CSP	S1-003,S1-006	2	S1-003:contract_refs|enforcing_contract_ats;S1-006:enforcing_contract_ats	COVERED	S1-003,S1-006	1	1	
AT-1046	AT	GOP	S10-000	1	S10-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1047	AT	GOP	S10-000	1	S10-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1048	AT	CSP	S8-010	1	S8-010:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1049	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-105	AT	GOP	S8-002	1	S8-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1050	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1051	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1052	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1053	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1054	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-1055	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1056	AT	CSP	S1-013,S13-004	2	S1-013:contract_refs|enforcing_contract_ats;S13-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1057	AT	CSP	S1-013,S13-004	2	S1-013:contract_refs|enforcing_contract_ats;S13-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-106	AT	CSP	S9-000	1	S9-000:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1062	AT	GOP	S13-000	1	S13-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1064	AT	CSP	S13-000	1	S13-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1065	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-1066	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1067	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1068	AT	CSP	S8-010	1	S8-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1069	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-107	AT	GOP	S8-002	1	S8-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1070	AT	CSP	S13-000	1	S13-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1071	AT	CSP	S11-002	1	S11-002:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-108	AT	CSP	S10-004	1	S10-004:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1095	AT	CSP	S9-009	1	S9-009:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1096	AT	CSP	S9-009	1	S9-009:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1097	AT	CSP	S7-011	1	S7-011:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1098	AT	CSP	S9-010	1	S9-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1099	AT	CSP	S7-011	1	S7-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-110	AT	CSP	S9-003	1	S9-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1100	AT	CSP	S9-010	1	S9-010:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1101	AT	CSP	S9-011	1	S9-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1102	AT	CSP	S9-011	1	S9-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1103	AT	CSP	S9-012	1	S9-012:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1104	AT	CSP	S11-003	1	S11-003:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-1105	AT	CSP	S11-003	1	S11-003:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-1106	AT	CSP	S10-006	1	S10-006:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1107	AT	GOP	S13-008	1	S13-008:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1108	AT	GOP	S12-002	1	S12-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1109	AT	GOP	S12-002	1	S12-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1110	AT	GOP	S13-008	1	S13-008:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1111	AT	CSP	S10-007	1	S10-007:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1112	AT	CSP	S9-012	1	S9-012:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1113	AT	CSP	S9-012	1	S9-012:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1114	AT	CSP	S10-006	1	S10-006:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1115	AT	CSP	S8-019	1	S8-019:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1116	AT	CSP	S8-019	1	S8-019:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1117	AT	CSP	S9-013	1	S9-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1118	AT	CSP	S10-008	1	S10-008:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1119	AT	CSP	S14-001	1	S14-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-112	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1120	AT	GOP	S14-002	1	S14-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1121	AT	GOP	S14-002	1	S14-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1122	AT	GOP	S14-001	1	S14-001:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-1123	AT	CSP	S10-007	1	S10-007:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-113	AT	CSP	S13-004	1	S13-004:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-115	AT	CSP	S8-003	1	S8-003:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-116	AT	CSP	S7-000	1	S7-000:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S7-000	1	1	
AT-117	AT	CSP	S7-001	1	S7-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-118	AT	CSP	S7-001	1	S7-001:enforcing_contract_ats	CLAIMED		1	1	
AT-119	AT	CSP	S8-004	1	S8-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-120	AT	CSP	S9-003	1	S9-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-121	AT	CSP	S9-004	1	S9-004:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-122	AT	CSP	S9-004	1	S9-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-123	AT	CSP	S9-004	1	S9-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-124	AT	CSP	S9-004	1	S9-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-132	AT	CSP	S8-006	1	S8-006:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-133	AT	CSP	S9-000	1	S9-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-201	AT	CSP	S2-001,S2-004,S6-002	3	S2-001:contract_refs|enforcing_contract_ats;S2-004:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats;S6-002:contract_refs|enforcing_contract_ats	COVERED	S2-001,S2-004,S6-002	1	1	
AT-202	AT	CSP	S9-002	1	S9-002:enforcing_contract_ats	CLAIMED		1	1	
AT-203	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-204	AT	CSP	S8-005	1	S8-005:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-205	AT	CSP	S8-003	1	S8-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-206	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-207	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-208	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-209	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-210	AT	CSP	S4-001	1	S4-001:contract_refs|enforcing_contract_ats	COVERED	S4-001	1	1	
AT-211	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-212	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-213	AT	GOP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-214	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-215	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-216	AT	CSP	S2-002,S2-003,S6-001	3	S2-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats;S2-003:enforcing_contract_ats;S6-001:enforcing_contract_ats	COVERED	S2-002,S2-003,S6-001	1	1	
AT-217	AT	CSP	S2-002,S2-003	2	S2-002:contract_refs|enforcing_contract_ats;S2-003:contract_refs|enforcing_contract_ats	COVERED	S2-002,S2-003	1	1	
AT-218	AT	CSP	S2-001,S6-001	2	S2-001:enforcing_contract_ats;S6-001:enforcing_contract_ats	COVERED	S2-001,S6-001	1	1	
AT-219	AT	CSP	S2-000,S6-001	2	S2-000:enforcing_contract_ats;S6-001:enforcing_contract_ats	COVERED	S2-000,S6-001	1	1	
AT-220	AT	CSP	S7-000	1	S7-000:enforcing_contract_ats	COVERED	S7-000	1	1	
AT-221	AT	CSP	S7-004	1	S7-004:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-222	AT	CSP	S5-000,S6-012	2	S5-000:contract_refs|enforcing_contract_ats;S6-012:enforcing_contract_ats	AMBIGUOUS	S5-000,S6-012	1	1	
AT-223	AT	CSP	S5-003,S6-011	2	S5-003:contract_refs|enforcing_contract_ats;S6-011:enforcing_contract_ats	AMBIGUOUS	S5-003,S6-011	1	1	
AT-224	AT	CSP	S6-007,S6-011	2	S6-007:enforcing_contract_ats;S6-011:enforcing_contract_ats	AMBIGUOUS	S6-007,S6-011	1	1	
AT-225	AT	CSP	S6-008	1	S6-008:enforcing_contract_ats	COVERED	S6-008	1	1	
AT-226	AT	CSP	S6-009	1	S6-009:enforcing_contract_ats	COVERED	S6-009	1	1	
AT-227	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-228	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-229	AT	CSP	S7-003	1	S7-003:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-230	AT	CSP	S4-001	1	S4-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S4-001	1	1	
AT-231	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-232	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-233	AT	CSP	S4-000,S4-003,S6-006	3	S4-000:contract_refs|enforcing_contract_ats;S4-003:contract_refs|enforcing_contract_ats;S6-006:contract_refs|enforcing_contract_ats	COVERED	S4-000,S4-003,S6-006	1	1	
AT-234	AT	CSP	S4-000,S4-003,S6-006	3	S4-000:contract_refs|enforcing_contract_ats;S4-003:contract_refs|enforcing_contract_ats;S6-006:enforcing_contract_ats	COVERED	S4-000,S4-003,S6-006	1	1	
AT-235	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-236	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-237	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-238	AT	CSP	S9-000	1	S9-000:enforcing_contract_ats	CLAIMED		1	1	
AT-239	AT	CSP	S9-000	1	S9-000:enforcing_contract_ats	CLAIMED		1	1	
AT-240	AT	CSP	S9-001	1	S9-001:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-241	AT	CSP	S11-001	1	S11-001:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-242	AT	CSP	S11-000	1	S11-000:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-243	AT	CSP	S5-002	1	S5-002:contract_refs|enforcing_contract_ats	COVERED	S5-002	1	1	
AT-244	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-245	AT	CSP	S5-001	1	S5-001:enforcing_contract_ats	COVERED	S5-001	1	1	
AT-246	AT	CSP	S5-001	1	S5-001:contract_refs|enforcing_contract_ats	COVERED	S5-001	1	1	
AT-247	AT	GOP	S10-003	1	S10-003:enforcing_contract_ats	CLAIMED		1	1	
AT-248	AT	GOP	S10-003	1	S10-003:enforcing_contract_ats	CLAIMED		1	1	
AT-249	AT	GOP	S10-000	1	S10-000:enforcing_contract_ats	CLAIMED		1	1	
AT-250	AT	GOP	S10-000	1	S10-000:enforcing_contract_ats	CLAIMED		1	1	
AT-251	AT	GOP	S10-000	1	S10-000:enforcing_contract_ats	CLAIMED		1	1	
AT-252	AT	GOP	S10-000	1	S10-000:enforcing_contract_ats	CLAIMED		1	1	
AT-253	AT	GOP	S10-002	1	S10-002:enforcing_contract_ats	CLAIMED		1	1	
AT-254	AT	GOP	S12-000	1	S12-000:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-255	AT	GOP	S12-001	1	S12-001:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-256	AT	GOP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-257	AT	GOP	S13-000	1	S13-000:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-258	AT	CSP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-259	AT	CSP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-260	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-261	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-262	AT	GOP	S13-006	1	S13-006:contract_refs	CLAIMED		1	1	
AT-263	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-264	AT	GOP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-265	AT	GOP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-266	AT	GOP	S14-000	1	S14-000:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-267	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-268	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-269	AT	CSP	S4-002	1	S4-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S4-002	1	1	
AT-270	AT	CSP	S4-002	1	S4-002:contract_refs|enforcing_contract_ats	COVERED	S4-002	1	1	
AT-271	AT	CSP	S9-002	1	S9-002:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-272	AT	CSP	S9-002	1	S9-002:enforcing_contract_ats	CLAIMED		1	1	
AT-273	AT	CSP	S10-004	1	S10-004:enforcing_contract_ats	CLAIMED		1	1	
AT-274	AT	GOP	S13-003	1	S13-003:enforcing_contract_ats	CLAIMED		1	1	
AT-275	AT	GOP	S13-003	1	S13-003:contract_must_evidence.anchor|enforcing_contract_ats	CLAIMED		1	1	
AT-276	AT	GOP	S13-003	1	S13-003:enforcing_contract_ats	CLAIMED		1	1	
AT-277	AT	CSP	S1-004,S1-005,S1-008,S1-009	4	S1-004:enforcing_contract_ats;S1-005:enforcing_contract_ats;S1-008:enforcing_contract_ats;S1-009:enforcing_contract_ats	COVERED	S1-004,S1-005	1	1	
AT-278	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-279	AT	CSP	S1-003	1	S1-003:enforcing_contract_ats	COVERED	S1-003	1	1	
AT-280	AT	CSP	S2-000	1	S2-000:enforcing_contract_ats	COVERED	S2-000	1	1	
AT-281	AT	CSP	S6-007	1	S6-007:enforcing_contract_ats	COVERED	S6-007	1	1	
AT-282	AT	CSP	S6-007	1	S6-007:enforcing_contract_ats	COVERED	S6-007	1	1	
AT-283	AT	CSP	S7-001	1	S7-001:enforcing_contract_ats	CLAIMED		1	1	
AT-284	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-285	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-286	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-287	AT	CSP	S11-000	1	S11-000:enforcing_contract_ats	CLAIMED		1	1	
AT-288	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-289	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-290	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-291	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-292	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-293	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-294	AT	CSP	S8-001	1	S8-001:enforcing_contract_ats	CLAIMED		1	1	
AT-295	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-296	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-297	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-298	AT	CSP	S8-003	1	S8-003:enforcing_contract_ats	CLAIMED		1	1	
AT-299	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-300	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-301	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-302	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-303	AT	CSP	S9-004	1	S9-004:enforcing_contract_ats	CLAIMED		1	1	
AT-304	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-305	AT	CSP	S9-001	1	S9-001:enforcing_contract_ats	CLAIMED		1	1	
AT-306	AT	CSP	S9-001	1	S9-001:enforcing_contract_ats	CLAIMED		1	1	
AT-307	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-308	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-309	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-310	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-311	AT	GOP	S13-006	1	S13-006:contract_refs	CLAIMED		1	1	
AT-312	AT	GOP	S13-006	1	S13-006:contract_refs	CLAIMED		1	1	
AT-313	AT	GOP	S13-006	1	S13-006:contract_refs	CLAIMED		1	1	
AT-314	AT	CSP	S10-004	1	S10-004:enforcing_contract_ats	CLAIMED		1	1	
AT-315	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-316	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-317	AT	CSP	S5-000	1	S5-000:enforcing_contract_ats	COVERED	S5-000	1	1	
AT-318	AT	CSP	S5-001	1	S5-001:enforcing_contract_ats	COVERED	S5-001	1	1	
AT-319	AT	CSP	S5-001	1	S5-001:enforcing_contract_ats	COVERED	S5-001	1	1	
AT-320	AT	CSP	S5-001	1	S5-001:enforcing_contract_ats	COVERED	S5-001	1	1	
AT-321	AT	CSP	S11-000	1	S11-000:enforcing_contract_ats	CLAIMED		1	1	
AT-322	AT	CSP	S11-000	1	S11-000:enforcing_contract_ats	CLAIMED		1	1	
AT-323	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-324	AT	GOP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-325	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-326	AT	GOP	S13-005	1	S13-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-327	AT	CSP	S5-002	1	S5-002:enforcing_contract_ats	COVERED	S5-002	1	1	
AT-328	AT	CSP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-329	AT	CSP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
