story_id	passes	has_proof_arrays	has_enforcement_point	ats_any_field	contract_refs_raw	anchors_raw	scope_touch
S1-006	True	1	1	AT-104	CONTRACT.md 1.0.X Instrument Metadata Freshness (Instrument Cache TTL) — MUST implement|VR-013	CONTRACT.md 1.0.X Instrument Metadata Freshness (Instrument Cache TTL) — MUST implement	crates/soldier_core/src/venue/cache.rs,crates/soldier_core/src/venue/mod.rs,crates/soldier_core/tests/test_instrument_cache_ttl.rs
S1-007	True	1	1	AT-920	CONTRACT.md AT-920	CONTRACT.md If a mismatch is detected: **reject the intent** and set `RiskState::Degraded`	crates/soldier_core/src/execution/dispatch_map.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/lib.rs,crates/soldier_core/tests/test_dispatch_map.rs,crates/soldier_core/tests/test_order_size.rs
S1-008	True	1	0	AT-277,AT-920	CONTRACT.md 1.0 Instrument Units & Notional Invariants (Deribit Quantity Contract)|CONTRACT.md OrderSize struct (MUST implement):|Anchor-021|VR-024		docs/order_size_discovery.md
S1-009	True	1	0	AT-277,AT-920	CONTRACT.md Dispatcher Rules (Deribit request mapping):|Anchor-021|VR-024		docs/dispatch_map_discovery.md
S1-010	True	1	1	AT-040,AT-341,AT-424,AT-970,AT-971	CONTRACT.md Appendix A: Configuration Defaults (Safety-Critical Thresholds)|CONTRACT.md AT-341|CONTRACT.md AT-040|Anchor-001|Anchor-002|Anchor-003|Anchor-008|Anchor-009|Anchor-010|Anchor-012|Anchor-015|Anchor-016|Anchor-020|Anchor-022|VR-001|VR-002|VR-003|VR-004a|VR-004b|VR-005|VR-006|VR-008|VR-009|VR-015|VR-016|VR-023		crates/soldier_infra/src/lib.rs,crates/soldier_infra/tests
S1-011	True	1	1	AT-333	CONTRACT.md AT-333		crates/soldier_infra/src/deribit/public/mod.rs,crates/soldier_infra/src/deribit/mod.rs,crates/soldier_infra/src/lib.rs,crates/soldier_infra/Cargo.toml
S1-012	True	1	1	AT-949,AT-950,AT-960,AT-961,AT-962,AT-965,AT-966	AT-949|AT-950|AT-960|AT-961|AT-962|AT-965|AT-966	AT-949	crates/soldier_core/src/risk,crates/soldier_core/src/venue,crates/soldier_core/tests
S1-013	True	1	0	AT-1056,AT-1057	CONTRACT.md 0.Z.9 CSP-Only CI Gate|AT-1056|AT-1057		plans/pr_gate.sh,plans/tests/test_pr_gate.sh,plans/preflight.sh,plans/workflow_verify.sh,plans/workflow_files_allowlist.txt,plans/tests/test_workflow_allowlist_coverage.sh
S10-000	False	1	1	AT-046,AT-1046,AT-1047,AT-249,AT-250,AT-251,AT-252	TradingMode|ReduceOnly|Open Permission Latch|AT-046|AT-1046|AT-1047	AT-046	crates/soldier_core/src,crates/soldier_core/src/execution,crates/soldier_core/tests
S10-000	False	1	1	AT-046,AT-1046,AT-1047,AT-249,AT-250,AT-251,AT-252	TradingMode|ReduceOnly|Open Permission Latch|AT-046|AT-1046|AT-1047	AT-046	crates/soldier_core/src,crates/soldier_core/src/execution,crates/soldier_core/tests
S10-001	False	1	1	AT-044	TradingMode|ReduceOnly|Open Permission Latch|AT-044	AT-044	crates/soldier_core/src,crates/soldier_core/tests
S10-001	False	1	1	AT-044	TradingMode|ReduceOnly|Open Permission Latch|AT-044	AT-044	crates/soldier_core/src,crates/soldier_core/tests
S10-002	False	1	1	AT-253,AT-414	TradingMode|ReduceOnly|Open Permission Latch		crates/soldier_core/src,crates/soldier_core/tests
S10-002	False	1	1	AT-253,AT-414	TradingMode|ReduceOnly|Open Permission Latch		crates/soldier_core/src,crates/soldier_core/tests
S10-003	False	1	1	AT-247,AT-248	TradingMode|ReduceOnly|Open Permission Latch		python
S10-003	False	1	1	AT-247,AT-248	TradingMode|ReduceOnly|Open Permission Latch		python
S10-004	False	1	1	AT-108,AT-273,AT-314	TradingMode|ReduceOnly|Open Permission Latch|AT-108	AT-108	crates/soldier_core/src/risk,crates/soldier_core/tests
S10-004	False	1	1	AT-108,AT-273,AT-314	TradingMode|ReduceOnly|Open Permission Latch|AT-108	AT-108	crates/soldier_core/src/risk,crates/soldier_core/tests
S10-006	False	1	1	AT-1106,AT-1114	AT-1106|AT-1114		crates/soldier_core/src,crates/soldier_core/tests
S10-006	False	1	1	AT-1106,AT-1114	AT-1106|AT-1114		crates/soldier_core/src,crates/soldier_core/tests
S10-007	False	1	1	AT-1111,AT-1123	AT-1111|AT-1123		crates/soldier_core/src,crates/soldier_core/tests
S10-007	False	1	1	AT-1111,AT-1123	AT-1111|AT-1123		crates/soldier_core/src,crates/soldier_core/tests
S10-008	False	1	1	AT-1118	AT-1118		crates/soldier_core/src,crates/soldier_infra/src
S10-008	False	1	1	AT-1118	AT-1118		crates/soldier_core/src,crates/soldier_infra/src
S11-000	False	1	1	AT-242,AT-287,AT-321,AT-322	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-242	crates/soldier_core/src,crates/soldier_core/tests
S11-000	False	1	1	AT-242,AT-287,AT-321,AT-322	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-242	crates/soldier_core/src,crates/soldier_core/tests
S11-001	False	1	1	AT-241	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-241	crates/soldier_core/src,crates/soldier_core/tests
S11-001	False	1	1	AT-241	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-241	crates/soldier_core/src,crates/soldier_core/tests
S11-002	False	1	1	AT-1071	SVI Math Guard (Hard NaN / Blow-Up Shield)	AT-1071	crates/soldier_core/src,crates/soldier_core/tests
S11-002	False	1	1	AT-1071	SVI Math Guard (Hard NaN / Blow-Up Shield)	AT-1071	crates/soldier_core/src,crates/soldier_core/tests
S11-003	False	1	1	AT-1104,AT-1105	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-1104|AT-1105	crates/soldier_core/src,crates/soldier_core/tests
S11-003	False	1	1	AT-1104,AT-1105	SVI Math Guard (Hard NaN / Blow-Up Shield)|Acceptance Test (REQUIRED)	AT-1104|AT-1105	crates/soldier_core/src,crates/soldier_core/tests
S12-000	False	1	1	AT-254	TradingMode|ReduceOnly|Open Permission Latch	AT-254	crates/soldier_core/src,crates/soldier_core/tests
S12-000	False	1	1	AT-254	TradingMode|ReduceOnly|Open Permission Latch	AT-254	crates/soldier_core/src,crates/soldier_core/tests
S12-001	False	1	1	AT-255	TradingMode|ReduceOnly|Open Permission Latch	AT-255	crates/soldier_core/src,python,crates/soldier_core/tests
S12-001	False	1	1	AT-255	TradingMode|ReduceOnly|Open Permission Latch	AT-255	crates/soldier_core/src,python,crates/soldier_core/tests
S12-002	False	1	1	AT-1108,AT-1109	AT-1108|AT-1109	AT-1108|AT-1109	crates/soldier_core/src,crates/soldier_core/tests
S12-002	False	1	1	AT-1108,AT-1109	AT-1108|AT-1109	AT-1108|AT-1109	crates/soldier_core/src,crates/soldier_core/tests
S13-000	False	1	1	AT-002,AT-034,AT-040,AT-1062,AT-1064,AT-1070,AT-256,AT-257,AT-258,AT-259,AT-324,AT-431,AT-432	TradingMode|ReduceOnly|Open Permission Latch|AT-002|AT-034|AT-040|AT-257|AT-1062|AT-1064|AT-1070	AT-002	python,crates/soldier_core/src/execution,crates/soldier_core/tests
S13-000	False	1	1	AT-002,AT-034,AT-040,AT-1062,AT-1064,AT-1070,AT-256,AT-257,AT-258,AT-259,AT-324,AT-431,AT-432	TradingMode|ReduceOnly|Open Permission Latch|AT-002|AT-034|AT-040|AT-257|AT-1062|AT-1064|AT-1070	AT-002	python,crates/soldier_core/src/execution,crates/soldier_core/tests
S13-002	False	1	1	AT-035,AT-036,AT-433,AT-434,AT-435,AT-436,AT-972,AT-973	TradingMode|ReduceOnly|Open Permission Latch|AT-035|AT-036|AT-435|AT-972|AT-973	AT-035	python
S13-002	False	1	1	AT-035,AT-036,AT-433,AT-434,AT-435,AT-436,AT-972,AT-973	TradingMode|ReduceOnly|Open Permission Latch|AT-035|AT-036|AT-435|AT-972|AT-973	AT-035	python
S13-003	False	1	1	AT-274,AT-275,AT-276,AT-902,AT-903,AT-904	TradingMode|ReduceOnly|Open Permission Latch	AT-275	python
S13-003	False	1	1	AT-274,AT-275,AT-276,AT-902,AT-903,AT-904	TradingMode|ReduceOnly|Open Permission Latch	AT-275	python
S13-004	False	1	1	AT-1056,AT-1057,AT-113,AT-990	TradingMode|ReduceOnly|Open Permission Latch|AT-113|AT-990|AT-1056|AT-1057	AT-113	python,crates/soldier_core/tests
S13-004	False	1	1	AT-1056,AT-1057,AT-113,AT-990	TradingMode|ReduceOnly|Open Permission Latch|AT-113|AT-990|AT-1056|AT-1057	AT-113	python,crates/soldier_core/tests
S13-005	False	1	1	AT-260,AT-261,AT-263,AT-323,AT-325,AT-326	TradingMode|AT-260|AT-261|AT-263|AT-323|AT-325|AT-326		crates/soldier_infra/src
S13-006	False	1	1	AT-1054,AT-1065,AT-1069,AT-262,AT-311,AT-312,AT-313,AT-337,AT-416,AT-918,AT-925,AT-931,AT-942,AT-991,AT-992	TradingMode|ReduceOnly|AT-262|AT-311|AT-312|AT-313|AT-942		crates/soldier_core/src
S13-008	False	1	1	AT-1107,AT-1110	AT-1107|AT-1110		crates/soldier_core/src,crates/soldier_core/tests
S14-000	False	1	1	AT-264,AT-265,AT-266,AT-328,AT-329,AT-330,AT-331,AT-332	§8.1 Measurable Metrics (PASS/FAIL)|§8.2 Minimum Test Suite (The Torture Chamber)|§8.4 Certification Artifact (Hard Gate Implementation)	AT-266	plans/verify.sh
S14-001	False	1	1	AT-1119,AT-1122	AT-1119|AT-1122	AT-1119	crates/soldier_core/src,crates/soldier_core/tests
S14-002	False	1	1	AT-1120,AT-1121	AT-1120|AT-1121	AT-1120	crates/soldier_core/src,crates/soldier_core/tests
S2-000	True	1	1	AT-020,AT-021,AT-219,AT-280,AT-908,AT-926	CONTRACT.md 1.1.1 Canonical Quantization (Pre-Hash & Pre-Dispatch)|AT-021|AT-020|AT-926	CONTRACT.md 1.1.1 Canonical Quantization (Pre-Hash & Pre-Dispatch)	crates/soldier_core/src/execution/quantize.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/tests/test_quantize.rs
S2-001	True	1	1	AT-020,AT-201,AT-218,AT-343,AT-928	CONTRACT.md 1.1 Labeling & Idempotency Contract|CONTRACT.md 1.1.1 Canonical Quantization (Pre-Hash & Pre-Dispatch)|AT-020|Anchor-017|VR-017|AT-201|AT-343|AT-928	CONTRACT.md 1.1 Labeling & Idempotency Contract	crates/soldier_core/src/idempotency/hash.rs,crates/soldier_core/src/idempotency/mod.rs,crates/soldier_core/src/lib.rs,crates/soldier_core/tests/test_idempotency.rs
S2-002	True	1	1	AT-041,AT-216,AT-217,AT-921	CONTRACT.md §1.1 Labeling & Idempotency Contract|AT-216|AT-217|AT-041|AT-921	AT-216	crates/soldier_core/src/execution/label.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/tests/test_label.rs
S2-003	True	1	1	AT-022,AT-216,AT-217	CONTRACT.md 1.1.2 Label Parse + Disambiguation (Collision-Safe)|AT-022|Anchor-001|Anchor-019|VR-021|VR-022|AT-217	AT-022	crates/soldier_core/src/lib.rs,crates/soldier_core/src/recovery,crates/soldier_core/tests/test_label_match.rs
S2-004	True	1	1	AT-201	CONTRACT.md RejectReasonCode registry (intent‑level rejections)|CONTRACT.md 2.2.6 RejectReasonCode Registry (Intent-Level Rejections)|AT-201	AT-201	crates/soldier_core/src/execution/reject_reason.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/tests/test_reject_reason.rs
S3-000	True	1	1	AT-004,AT-013,AT-016,AT-017,AT-018,AT-019,AT-023,AT-025,AT-026,AT-027,AT-913,AT-914,AT-915	CONTRACT.md 1.4.4 Deribit Order-Type Preflight Guard (Artifact-Backed)|AT-013|AT-023|AT-025|AT-026|AT-027|AT-004|AT-016|AT-017|AT-018|AT-019|AT-913|AT-914|AT-915|Anchor-013|Anchor-014|Anchor-023|VR-025|VR-026|VR-027	AT-013	crates/soldier_core/src/execution/build_order_intent.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/pipeline.rs,crates/soldier_core/src/execution/preflight.rs,crates/soldier_core/tests/test_gate_ordering.rs,crates/soldier_core/tests/test_intent_pipeline.rs,crates/soldier_core/tests/test_preflight.rs,crates/soldier_core/tests/test_rejection_side_effects.rs
S3-001	True	1	1	AT-916	CONTRACT.md 1.4.4 Deribit Order-Type Preflight Guard (Artifact-Backed)|AT-916	AT-916	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/post_only_guard.rs,crates/soldier_core/tests/test_post_only_guard.rs
S3-002	True	1	1	AT-004,AT-028,AT-915	CONTRACT.md 1.4.4 Deribit Order-Type Preflight Guard (Artifact-Backed)|AT-028|AT-004|AT-915|Anchor-023|VR-026|VR-027|VR-028	AT-028	crates/soldier_core/src/venue/mod.rs,crates/soldier_core/src/venue/capabilities.rs,crates/soldier_core/tests/test_capabilities.rs
S4-000	True	1	1	AT-233,AT-234,AT-906,AT-925,AT-935,AT-940	CONTRACT.md 2.4 Durable Intent Ledger (WAL Truth Source)|CONTRACT.md §2.4.1 WAL Writer Isolation (Hot Loop Protection)|AT-935|AT-906|AT-233|AT-234|Anchor-004|Anchor-005|Anchor-006|VR-010|VR-014	AT-935	crates/soldier_infra/src/lib.rs,crates/soldier_infra/tests,crates/soldier_infra/src/store
S4-001	True	1	1	AT-210,AT-230	CONTRACT.md 2.1 Trade Lifecycle State Machine (TLSM)|CONTRACT.md 2.4 Durable Intent Ledger (WAL Truth Source)|AT-230|AT-210|Anchor-011	AT-230	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/tlsm.rs,crates/soldier_core/tests/test_tlsm.rs
S4-002	True	1	1	AT-269,AT-270	CONTRACT.md Trade-ID Idempotency Registry (Ghost-Race Hardening)|AT-269|AT-270|Anchor-007|VR-022	AT-269	crates/soldier_infra/src/lib.rs,crates/soldier_infra/tests,crates/soldier_infra/src/store
S4-003	True	1	1	AT-233,AT-234,AT-906,AT-935,AT-969	CONTRACT.md §2.4.1 WAL Writer Isolation (Hot Loop Protection)|CONTRACT.md §2.4 Durable Intent Ledger|AT-935|AT-906|AT-233|AT-234|Anchor-006|VR-014	AT-935	crates/soldier_infra/src/lib.rs,crates/soldier_infra/tests,crates/soldier_infra/src/wal.rs
S5-000	True	1	1	AT-222,AT-317,AT-344,AT-421,AT-909	CONTRACT.md §1.3 Pre-Trade Liquidity Gate (Do Not Sweep the Book)|CONTRACT.md Rejections due to missing/unparseable/stale L2 MUST use Rejected(LiquidityGateNoL2).|CONTRACT.md AT-222|CONTRACT.md AT-344|CONTRACT.md AT-909|CONTRACT.md AT-421|VR-011	CONTRACT.md §1.3 Pre-Trade Liquidity Gate (Do Not Sweep the Book)	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/gate.rs,crates/soldier_core/tests/test_liquidity_gate.rs
S5-001	True	1	1	AT-031,AT-032,AT-033,AT-042,AT-244,AT-245,AT-246,AT-318,AT-319,AT-320	CONTRACT.md §4.2 Fee-Aware Execution|CONTRACT.md Fee Cache Staleness (Fail-Closed)|CONTRACT.md AT-031|CONTRACT.md AT-032|CONTRACT.md AT-033|CONTRACT.md AT-042|CONTRACT.md AT-244|CONTRACT.md AT-246|VR-007	CONTRACT.md §4.2 Fee-Aware Execution	crates/soldier_infra/src/deribit/mod.rs,crates/soldier_core/src/risk/mod.rs,crates/soldier_core/src/risk/state.rs,crates/soldier_infra/src/deribit/account_summary.rs,crates/soldier_core/src/risk/fees.rs,crates/soldier_core/tests/test_fee_staleness.rs,crates/soldier_infra/tests/test_fee_cache.rs
S5-002	True	1	1	AT-015,AT-243,AT-327,AT-932	CONTRACT.md §1.4.1 Net Edge Gate (Fees + Expected Slippage)|CONTRACT.md net_edge_usd = gross_edge_usd - fee_usd - expected_slippage_usd|CONTRACT.md AT-015|CONTRACT.md AT-932|Anchor-018|VR-012|VR-018|VR-019|VR-020|AT-015|AT-243|AT-932	CONTRACT.md §1.4.1 Net Edge Gate (Fees + Expected Slippage)	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/gates.rs,crates/soldier_core/tests/test_net_edge_gate.rs
S5-003	True	1	1	AT-223	CONTRACT.md §1.4 Fee-Aware IOC Limit Pricer (No Market Orders)|CONTRACT.md AT-223	CONTRACT.md §1.4 Fee-Aware IOC Limit Pricer (No Market Orders)	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/pricer.rs,crates/soldier_core/tests/test_pricer.rs
S5-004	True	1	1	AT-015	CONTRACT.md §1.4.1 Net Edge Gate (Fees + Expected Slippage)|CONTRACT.md §1.3 Pre-Trade Liquidity Gate (Do Not Sweep the Book)|CONTRACT.md RecordedBeforeDispatch|CONTRACT.md CSP.5.2 Enforcement Rules	CONTRACT.md §1.4.1 Net Edge Gate (Fees + Expected Slippage)	crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/execution/build_order_intent.rs,crates/soldier_core/tests/test_gate_ordering.rs
S6-000	True	1	1	AT-906,AT-935	RecordedBeforeDispatch|AT-935|Anchor-006|VR-014|1. Execution Architecture: The "Atomic Group" (Real-Time Repair)		crates/soldier_core/tests/test_dispatch_chokepoint.rs,docs/dispatch_chokepoint.md
S6-001	True	1	1	AT-216,AT-218,AT-219,AT-343	CSP.2.1 Stable Intent Identity|1.1.1 Canonical Quantization (Pre-Hash & Pre-Dispatch)		evidence/phase1/determinism/intent_hashes.txt,crates/soldier_core/tests/test_intent_determinism.rs
S6-002	True	1	1	AT-201,AT-926	RecordedBeforeDispatch|AT-201|Anchor-006|1.2 Atomic Group Executor		crates/soldier_core/tests/test_rejection_side_effects.rs,evidence/phase1/no_side_effects/rejection_cases.md
S6-003	True	1	1	AT-902	0.Z.7.4 Observability Requirement		evidence/phase1/traceability/sample_rejection_log.txt,crates/soldier_core/tests/test_intent_id_propagation.rs
S6-004	True	1	1	AT-010	CONTRACT.md RecordedBeforeDispatch|CONTRACT.md CSP.5.2 Enforcement Rules|Anchor-006|VR-014		crates/soldier_core/tests/test_gate_ordering.rs,docs/intent_gate_invariants.md
S6-005	True	1	1	AT-926,AT-930	Appendix A|Appendix A: Configuration Defaults (Safety-Critical Thresholds)		evidence/phase1/config_fail_closed/missing_keys_matrix.json,crates/soldier_core/tests/test_missing_config.rs,docs/critical_config_keys.md
S6-006	True	1	1	AT-233,AT-234,AT-906,AT-935	AT-935|AT-233|2.4 — WAL / intent ledger (RecordedBeforeDispatch)		evidence/phase1/crash_mid_intent/drill.md,crates/soldier_infra/tests/test_crash_mid_intent.rs
S6-007	True	1	1	AT-030,AT-043,AT-224,AT-281,AT-282,AT-922,AT-934	AT-030|AT-043|CONTRACT.md Inventory skew gate	AT-030	crates/soldier_core/src/execution,crates/soldier_core/tests
S6-008	True	1	1	AT-043,AT-225,AT-910	CONTRACT.md Pending exposure reservation	AT-043	crates/soldier_core/src/risk,crates/soldier_core/tests
S6-009	True	1	1	AT-043,AT-226,AT-911,AT-929	CONTRACT.md Global exposure budget (corr buckets)	AT-043	crates/soldier_core/src/risk,crates/soldier_core/tests
S6-010	True	1	1	AT-001,AT-206,AT-207,AT-208,AT-227,AT-228,AT-300,AT-301,AT-302,AT-912	CONTRACT.md Margin headroom gate	AT-001	crates/soldier_core/src/risk,crates/soldier_core/tests
S6-011	True	1	1	AT-030,AT-043,AT-223,AT-224	§1.3|§1.4|§1.4.2		crates/soldier_core/src/execution/inventory_skew.rs,crates/soldier_core/src/execution/pricer.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/tests/test_inventory_skew.rs,crates/soldier_core/tests/test_pricer.rs,crates/soldier_core/tests/test_open_runtime_wiring.rs,crates/soldier_core/tests/common/mod.rs,crates/soldier_core/tests/test_rejection_side_effects.rs,crates/soldier_core/tests/test_intent_determinism.rs,crates/soldier_core/tests/test_missing_config.rs,crates/soldier_core/tests/test_intent_id_propagation.rs
S6-012	True	1	1	AT-222,AT-344,AT-421,AT-909	§1.3		crates/soldier_core/src/execution/gate.rs,crates/soldier_core/src/execution/gate_outcome.rs,crates/soldier_core/src/execution/open_runtime.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/tests/test_liquidity_gate.rs,crates/soldier_core/tests/test_gate_outcome.rs,crates/soldier_core/tests/prop_liquidity_gate.rs,crates/soldier_core/tests/test_missing_config.rs
S7-000	True	1	1	AT-116,AT-220,AT-924,AT-936	TradingMode|ReduceOnly|Open Permission Latch|AT-116	AT-116	crates/soldier_core/src/execution,crates/soldier_core/tests
S7-001	False	1	1	AT-117,AT-118,AT-283	TradingMode|ReduceOnly|Open Permission Latch|AT-117	AT-117	crates/soldier_core/src/execution,crates/soldier_core/tests
S7-002	False	1	1	AT-013,AT-1049,AT-203,AT-211,AT-213,AT-235,AT-236,AT-237,AT-278,AT-316,AT-338,AT-339,AT-340,AT-346,AT-347,AT-937,AT-938,AT-939	TradingMode|ReduceOnly|Open Permission Latch|AT-013|AT-338|AT-339|AT-340|AT-346|AT-347|AT-1049	AT-013	crates/soldier_core/src/execution,crates/soldier_core/tests
S7-003	False	1	1	AT-229	TradingMode|ReduceOnly|Open Permission Latch	AT-229	crates/soldier_core/src/execution,crates/soldier_core/tests
S7-004	False	1	1	AT-221	TradingMode|ReduceOnly|Open Permission Latch	AT-221	crates/soldier_core/src/risk,crates/soldier_core/tests
S7-005	False	1	1	AT-953,AT-955,AT-956,AT-957	TradingMode|ReduceOnly|Open Permission Latch|AT-953|AT-955|AT-956|AT-957	AT-953	crates/soldier_core/src/risk,crates/soldier_core/tests
S7-011	False	1	1	AT-1097,AT-1099	AT-1097|AT-1099	AT-1097	crates/soldier_core/src/execution,crates/soldier_core/tests
S7-011	False	1	1	AT-1097,AT-1099	AT-1097|AT-1099	AT-1097	crates/soldier_core/src/execution,crates/soldier_core/tests
S8-001	False	1	1	AT-012,AT-020,AT-021,AT-294,AT-348,AT-349,AT-350,AT-413	TradingMode|ReduceOnly|Open Permission Latch|AT-012|AT-020|AT-021	AT-012	crates/soldier_core/src,crates/soldier_core/tests
S8-002	False	1	1	AT-005,AT-105,AT-107,AT-214,AT-215,AT-304,AT-307,AT-308,AT-309,AT-310,AT-334,AT-335,AT-404,AT-415,AT-422,AT-923	TradingMode|ReduceOnly|Open Permission Latch|AT-005|AT-105|AT-107	AT-005	crates/soldier_core/tests,crates/soldier_core/src
S8-003	False	1	1	AT-115,AT-205,AT-298,AT-345	TradingMode|ReduceOnly|Open Permission Latch|AT-115|AT-205|AT-345	AT-115	crates/soldier_core/src/risk,crates/soldier_core/src,crates/soldier_core/tests
S8-004	False	1	1	AT-045,AT-119,AT-231,AT-284,AT-285,AT-286,AT-288,AT-289,AT-290,AT-291,AT-292,AT-293,AT-418,AT-420	TradingMode|ReduceOnly|Open Permission Latch|AT-045|AT-119	AT-045	crates/soldier_core/src,crates/soldier_core/tests
S8-005	False	1	1	AT-204,AT-209,AT-232,AT-267,AT-268,AT-299,AT-401	TradingMode|ReduceOnly|Open Permission Latch|AT-204	AT-204	crates/soldier_core/src/risk,crates/soldier_core/tests
S8-006	False	1	1	AT-132	TradingMode|ReduceOnly|Open Permission Latch	AT-132	crates/soldier_infra/src,crates/soldier_core/src,crates/soldier_infra/tests
S8-008	False	1	1	AT-022	TradingMode|ReduceOnly|Open Permission Latch|AT-022	AT-022	crates/soldier_infra/src,crates/soldier_infra/tests
S8-009	False	1	1	AT-951,AT-952,AT-954,AT-958,AT-959,AT-963	TradingMode|ReduceOnly|Open Permission Latch|AT-951|AT-952|AT-954	AT-951	crates/soldier_core/src/risk,crates/soldier_core/tests
S8-010	False	1	1	AT-1048,AT-1050,AT-1051,AT-1052,AT-1053,AT-1066,AT-1067,AT-1068,AT-417	TradingMode|ReduceOnly|AT-1048|AT-1050|AT-1051|AT-1052|AT-1053|AT-1066|AT-1067|AT-1068	AT-1048	crates/soldier_core/src,crates/soldier_core/tests
S8-011	False	1	1	AT-001,AT-1055,AT-112,AT-295,AT-296,AT-297,AT-315,AT-336,AT-410,AT-423	TradingMode|ReduceOnly|AT-001|AT-112|AT-295|AT-296|AT-297|AT-315|AT-336|AT-410|AT-423|AT-1055	AT-001	crates/soldier_core/src,crates/soldier_core/tests
S8-012	False	1	1	AT-1054,AT-1065,AT-1069,AT-337,AT-416,AT-918,AT-925,AT-931,AT-991,AT-992	TradingMode|ReduceOnly|Open Permission Latch|AT-992|AT-416|AT-1069|AT-991|AT-1054|AT-1065|AT-931|AT-337|AT-918	AT-992	crates/soldier_core/src,crates/soldier_core/tests
